"","KID","year","tau_m","tau_f","tau_both","tau_m2","tau_f2"
"5154",6602194,1997,29.6666666666667,1.25,29.6666666666667,28.6666666666667,1.25
"5155",6605037,1997,25.5,0,25.5,22.6833333333333,0
"5156",6605037,2002,2.91666666666667,0,2.91666666666667,2.91666666666667,0
"5157",6605038,1997,25.5,0,25.5,23.5833333333333,0
"5158",6605038,2002,2.91666666666667,0,2.91666666666667,2.91666666666667,0
"5159",6605202,1997,37.5833333333333,22.85,44.5833333333333,37.5833333333333,22.85
"5160",6607180,2002,8,0,8,8,0
"5161",6615033,1997,2.5,2,4.5,2.5,1
"5162",6615033,2002,0,0,0,0,0
"5163",6615036,1997,50.0166666666667,9.9,57.5166666666667,49.5166666666667,8.9
"5164",6615036,2002,25.5,4.33333333333333,25.5,25.5,4.33333333333333
"5165",6616033,2002,0,0,0,0,0
"5166",6616034,1997,12.4166666666667,2.5,12.4166666666667,12.4166666666667,2.5
"5167",6616035,2002,5.41666666666667,0,5.41666666666667,2.91666666666667,0
"5168",6616036,1997,10.4166666666667,1.5,10.4166666666667,10.4166666666667,1.5
"5169",6616177,1997,19.4833333333333,16.5,24.9833333333333,9.48333333333333,5
"5170",6616177,2002,23.3333333333333,13.3333333333333,23.3333333333333,11.8333333333333,9.33333333333333
"5171",6616181,1997,17.05,8,17.05,10.75,2.16666666666667
"5172",6616181,2002,21,0,21,15,0
"5173",6616183,1997,14.4,4.83333333333333,14.4,10.75,1.91666666666667
"5174",6616183,2002,11.25,0,11.25,11.25,0
"5175",6624034,1997,41.75,12.1666666666667,41.75,41.75,12.1666666666667
"5176",6624034,2002,31,0,31,31,0
"5177",6625033,1997,20.1666666666667,10.9166666666667,21.9166666666667,20.1666666666667,10.9166666666667
"5178",6625034,1997,24.25,15.5,27.25,14.25,5.5
"5179",6625035,1997,32.5,12.5,32.5,22.5,2.5
"5180",6626032,1997,13,21.5,21.5,11,14.5
"5181",6626034,2002,35,37,40,23,28
"5182",6626035,1997,40.5,0,40.5,40.5,0
"5183",6626036,1997,29.1666666666667,19.1666666666667,31.8333333333333,17.1666666666667,17.1666666666667
"5184",6626037,1997,8.25,16,20.75,8.25,16
"5185",6626037,2002,28.4166666666667,0,28.4166666666667,16.9166666666667,0
