"","KID","year","Toys","Vacation","SchSupplies","Clothing","Food","sports","lessons","comm_grps","tutoring","tuition"
"2112",5392040,2007,9.61538461538461,0,0.961538461538462,6.73076923076923,NA,0.192307692307692,0,0,0,0
"2114",5393037,2007,0,0,1.92307692307692,5.76923076923077,NA,0,0,0,0,0
"2115",5393038,2007,NA,0,0.961538461538462,3.84615384615385,NA,0,0,0,0,0
"2116",5393179,2007,48.0769230769231,9.61538461538461,3.84615384615385,28.8461538461538,NA,3.84615384615385,0,0,0,0
"2117",5395035,2007,15.3846153846154,11.5384615384615,0,13.4615384615385,NA,0,0,0,0,0
"2118",5395037,2007,3.84615384615385,0,0.961538461538462,11.5384615384615,NA,0,0,0,0,0
"2123",5403030,2007,3.84615384615385,0,1.53846153846154,3.84615384615385,NA,3.84615384615385,0,0,0,0
"2124",5403174,2007,1.92307692307692,0,1.53846153846154,2.88461538461538,NA,1.92307692307692,0,0,0,0
"2125",5406033,2007,1.92307692307692,0,0.384615384615385,0,NA,2.30769230769231,0,0,0,0
"2126",5406176,2007,0.961538461538462,0,0.480769230769231,0,NA,0,0,0,0,0
"2128",5417182,2007,5.76923076923077,0,0.480769230769231,3.84615384615385,NA,4.80769230769231,0,0,0,0
"2129",5417183,2007,2.88461538461538,0,0.480769230769231,2.30769230769231,NA,0,0,0,0,0
"2131",5424034,2007,2.88461538461538,0,0.673076923076923,5.28846153846154,NA,3.46153846153846,0.384615384615385,0,0,0
"2132",5425033,2007,3.84615384615385,11.5384615384615,1.92307692307692,9.61538461538461,NA,0,0,0,0,0
"2133",5425034,2007,3.84615384615385,11.5384615384615,5.76923076923077,19.2307692307692,NA,0,0,0,4.38461538461539,0
"2135",5429032,2007,4.80769230769231,0,0.961538461538462,3.84615384615385,NA,0,0,0,0,0
"2136",5429033,2007,7.69230769230769,5.76923076923077,0.769230769230769,9.61538461538461,NA,0,0,0,0,0
"2137",5429035,2007,3.84615384615385,5.76923076923077,1.92307692307692,5.76923076923077,NA,0,0,0,0,0
"2141",5430046,2007,0,0,0.961538461538462,0,NA,0,0,0,0,0
"2142",5430050,2007,5.76923076923077,7.69230769230769,1.92307692307692,11.5384615384615,NA,4.42307692307692,0,0,0,0
"2143",5430052,2007,3.84615384615385,0,0.961538461538462,5.76923076923077,NA,1.92307692307692,0,0,0,0
"2144",5430053,2007,5.76923076923077,9.61538461538461,0.961538461538462,3.84615384615385,NA,4.80769230769231,0,0,0,0
"2152",5442178,2007,23.0769230769231,7.69230769230769,1.92307692307692,11.5384615384615,NA,0,1.92307692307692,0,0,0
"2153",5443037,2007,0,3.84615384615385,1.92307692307692,3.84615384615385,NA,0,0,0,0,0
"2154",5446032,2007,0,0,0,5.76923076923077,NA,0,NA,0,0,0
"2156",5447033,2007,11.5384615384615,4.80769230769231,2.88461538461538,9.61538461538461,NA,0,0,0,0,0
"2162",5458037,2007,0,15.3846153846154,1.15384615384615,9.61538461538461,NA,3.84615384615385,0,0,0,0
"2163",5458173,2007,0,0,9.61538461538461,48.0769230769231,NA,0,0,0,0,67.3076923076923
"2164",5459032,2007,3.84615384615385,4.80769230769231,0.192307692307692,3.84615384615385,NA,0,0,0,0,0
"2169",5462035,2007,7.69230769230769,0,0.384615384615385,0,NA,0,0,0,0,0
"2170",5462036,2007,0.961538461538462,0,1.34615384615385,5.76923076923077,NA,0,0,0,0,57.6923076923077
"2173",5463044,2007,6.73076923076923,0,1.15384615384615,7.69230769230769,NA,0,0,0,0,0
"2174",5463045,2007,1.92307692307692,1.92307692307692,0.384615384615385,0.961538461538462,NA,0.480769230769231,0,0,0,0
"2176",5464041,2007,5.76923076923077,0,0,1.92307692307692,NA,3.84615384615385,0,0,0,0
"2177",5464042,2007,1.92307692307692,0,5.76923076923077,23.0769230769231,NA,0,0,0,0,0
"2178",5464043,2007,0,0,1.92307692307692,4.80769230769231,NA,0,0,0,0,0
"2179",5464183,2007,0,0,1.92307692307692,0.961538461538462,NA,0,0,0,0,0
"2182",5478034,2007,5.76923076923077,9.61538461538461,1.92307692307692,11.5384615384615,NA,0,NA,0,3.84615384615385,0
"2183",5479031,2007,0,0,0,15.3846153846154,NA,0,0,0,0,0
"2186",5491034,2007,19.2307692307692,11.5384615384615,1.92307692307692,19.2307692307692,NA,6.73076923076923,0,0,0,0
"2188",5493042,2007,0,0,0.576923076923077,3.84615384615385,NA,0,0,0,0,0
"2189",5495032,2007,NA,NA,NA,NA,NA,0,0,0,0,0
"2191",5495034,2007,NA,NA,NA,NA,NA,0,19.2307692307692,0,0,0
"2193",5499036,2007,3.84615384615385,0,3.84615384615385,5.76923076923077,NA,0,0,0,0,0
"2195",5501041,2007,0,5.76923076923077,10.5769230769231,0,NA,0,0,0,0,0
"2196",5501044,2007,0,5.76923076923077,10.5769230769231,6.73076923076923,NA,0,0,0,0,0
"2198",5503032,2007,28.8461538461538,19.2307692307692,9.61538461538461,38.4615384615385,NA,1.15384615384615,0,0,0,0
"2205",5526048,2007,0,0,1.92307692307692,57.6923076923077,NA,0,0,0,0,0
"2206",5526049,2007,0,0,0,3.84615384615385,NA,0,0,0,0,0
"2207",5527031,2007,0.961538461538462,0,0.288461538461538,0.961538461538462,NA,0,0,0,0,0
"2208",5534032,2007,3.84615384615385,0,0.884615384615385,5.76923076923077,NA,0,0,0,0,0
"2211",5537042,2007,7.69230769230769,0.769230769230769,0,3.84615384615385,NA,0,0,0,0,0
"2213",5537180,2007,0,0,0.961538461538462,5.76923076923077,NA,0,0,0,0,0
"2217",5539039,2007,5.76923076923077,0,0.576923076923077,1.15384615384615,NA,0,0,0,19.2307692307692,0
"2220",5539187,2007,0,7.69230769230769,NA,NA,NA,NA,0,0,0,0
"2221",5539191,2007,13.4615384615385,0,2.88461538461538,26.9230769230769,NA,0,0,9.61538461538461,0,0
"2224",5547040,2007,2.88461538461538,0,5.76923076923077,3.84615384615385,NA,0,0,0,0,0
"2225",5547041,2007,0,0,0,0,NA,0,0,0,0,0
"2227",5548037,2007,1.48076923076923,1.92307692307692,0.576923076923077,0.769230769230769,NA,4.80769230769231,0,0,0,0
"2228",5548038,2007,19.2307692307692,0,3.84615384615385,57.6923076923077,NA,0,0,0,0,0
"2229",5548042,2007,0,0,1.53846153846154,17.3076923076923,NA,0,0,0,0,0
"2236",5560040,2007,0.961538461538462,0,0.576923076923077,3.84615384615385,NA,0,0,0,0,0
"2237",5560041,2007,0.769230769230769,0,0.576923076923077,3.84615384615385,NA,0,0,0,0,0
"2238",5560042,2007,1.92307692307692,19.2307692307692,3.84615384615385,9.61538461538461,NA,0,0,0,0,0
"2249",5570047,2007,9.61538461538461,7.69230769230769,3.84615384615385,5.76923076923077,NA,0.961538461538462,0,0,0,0
"2250",5570189,2007,19.2307692307692,11.5384615384615,1.92307692307692,23.0769230769231,NA,0,11.5384615384615,0,0,0
"2251",5570200,2007,1.92307692307692,1.92307692307692,0.769230769230769,0.961538461538462,NA,0,0,0,0,0
"2252",5570201,2007,1.92307692307692,9.61538461538461,0.769230769230769,7.69230769230769,NA,0,0,0,0,0
"2253",5570204,2007,19.2307692307692,0,0.961538461538462,7.69230769230769,NA,0,0,0,0,0
"2255",5573042,2007,0.576923076923077,4.80769230769231,0.480769230769231,2.88461538461538,NA,0.961538461538462,0,0,0,0
"2256",5573043,2007,3.84615384615385,19.2307692307692,0.961538461538462,19.2307692307692,NA,1.44230769230769,0.807692307692308,0,0,0
"2257",5573044,2007,0.384615384615385,0,0.576923076923077,0,NA,0.480769230769231,0,0,0,0
"2258",5576037,2007,3.84615384615385,0,2.88461538461538,7.69230769230769,NA,2.88461538461538,0,0,0,0
"2259",5576038,2007,3.84615384615385,3.84615384615385,0.961538461538462,7.69230769230769,NA,3.84615384615385,0,0,0,0
"2260",5576041,2007,2.88461538461538,0,0,9.61538461538461,NA,0,0,0,0,0
"2261",5576176,2007,4.80769230769231,0,0.384615384615385,1.92307692307692,NA,0,0,0,0,0
"2262",5584033,2007,9.61538461538461,9.61538461538461,2.40384615384615,5.76923076923077,NA,0,1.92307692307692,0,0,0
"2274",5610034,2007,3.84615384615385,0,0.480769230769231,2.88461538461538,NA,0,0,0,0,0
"2275",5612037,2007,7.69230769230769,6.73076923076923,4.80769230769231,9.61538461538461,NA,0,1.92307692307692,0,0,0
"2276",5612039,2007,11.5384615384615,5.76923076923077,0.961538461538462,11.5384615384615,NA,0.480769230769231,0,0,0,0
"2277",5612040,2007,5.76923076923077,5.76923076923077,0.961538461538462,5.76923076923077,NA,0.480769230769231,0,0,0,0
"2278",5612041,2007,0.961538461538462,0,1.92307692307692,3.84615384615385,NA,0,0.384615384615385,0,0,0
"2285",5613048,2007,0,0,0,0,NA,0,0,0,0,0
"2286",5613049,2007,0,0.576923076923077,0.288461538461538,1.92307692307692,NA,0,0,0,0,0
"2289",5614037,2007,3.84615384615385,0,1.92307692307692,3.84615384615385,NA,0,0,0,0,0
"2290",5614038,2007,0.961538461538462,0,1.34615384615385,3.84615384615385,NA,0,0,0,0,0
"2298",5621033,2007,15.3846153846154,19.2307692307692,19.2307692307692,23.0769230769231,NA,9.61538461538461,0,0,0,0
"2299",5621034,2007,0.384615384615385,0,0.384615384615385,0,NA,0,0.769230769230769,0,0,0
"2304",5623053,2007,1.92307692307692,0,1.92307692307692,13.4615384615385,NA,0,0,11.5384615384615,0,0
"2305",5623055,2007,5.76923076923077,0,1.15384615384615,7.69230769230769,NA,0,0,0,0,0
"2306",5625032,2007,7.69230769230769,0,4.80769230769231,9.61538461538461,NA,0,0,0,0,0
"2309",5628041,2007,0,0,1.15384615384615,3.84615384615385,NA,0,0,0,0,0
"2312",5635180,2007,0,0,1.44230769230769,5.76923076923077,NA,0,0,0,0,0
"2313",5635183,2007,5.76923076923077,0,0.961538461538462,19.2307692307692,NA,0,0,0,0,0
"2315",5640035,2007,9.61538461538461,5.76923076923077,0.961538461538462,19.2307692307692,NA,2.88461538461538,0,0,0,0
"2316",5641037,2007,11.5384615384615,3.84615384615385,1.15384615384615,1.92307692307692,NA,0,0,0,0,0
"2317",5641038,2007,3.84615384615385,0,1.92307692307692,1.92307692307692,NA,0,0,0,0,0
"2319",5643031,2007,13.4615384615385,5.76923076923077,3.84615384615385,15.3846153846154,NA,3.84615384615385,0,0.384615384615385,0,82.6923076923077
"2321",5646038,2007,38.4615384615385,28.8461538461538,9.61538461538461,0,NA,0,0,0,0,0
"2322",5653034,2007,0,0,0.480769230769231,4.80769230769231,NA,0.769230769230769,0,0.384615384615385,0,0
