"","ID","educ","ed","year_meas"
"79278",9009006,10,"<12",1991
"79279",9009030,NA,NA,-1
"79280",9009031,NA,NA,-1
"79281",9009032,NA,NA,-1
"79282",9009170,12,"12",1994
"79283",9010001,3,"<12",1995
"79284",9010002,NA,NA,-1
"79285",9010170,11,"<12",1990
"79286",9011001,14,"13-15",1992
"79287",9012001,12,"12",1992
"79288",9012002,9,"<12",1992
"79289",9012003,12,"12",1991
"79290",9012004,1,"<12",1992
"79291",9013001,2,"<12",1995
"79292",9013002,12,"12",1995
"79293",9013003,9,"<12",1995
"79294",9013004,NA,NA,-1
"79295",9013005,NA,NA,-1
"79296",9014001,17,">16",1995
"79297",9014002,17,">16",1995
"79298",9014003,NA,NA,-1
"79299",9014004,NA,NA,-1
"79300",9014030,NA,NA,-1
"79301",9015001,12,"12",1995
"79302",9015002,9,"<12",1995
"79303",9015003,8,"<12",1994
"79304",9015004,10,"<12",1995
"79305",9015005,8,"<12",1992
"79306",9015006,16,"16",1995
"79307",9015030,NA,NA,-1
"79308",9015170,16,"16",1995
"79309",9016001,12,"12",1995
"79310",9016002,12,"12",1995
"79311",9016003,NA,NA,-1
"79312",9016004,NA,NA,-1
"79313",9016005,NA,NA,-1
"79314",9017001,2,"<12",1992
"79315",9017002,5,"<12",1992
"79316",9017003,11,"<12",1992
"79317",9017004,9,"<12",1992
"79318",9017005,NA,NA,-1
"79319",9017006,NA,NA,-1
"79320",9017170,10,"<12",1992
"79321",9018001,NA,NA,-1
"79322",9018002,9,"<12",1994
"79323",9018003,NA,NA,-1
"79324",9018004,NA,NA,-1
"79325",9019001,NA,NA,-1
"79326",9019002,12,"12",1994
"79327",9019003,12,"12",1994
"79328",9019004,NA,NA,-1
"79329",9019005,8,"<12",1993
"79330",9019006,NA,NA,-1
"79331",9019170,11,"<12",1990
"79332",9019171,NA,NA,-1
"79333",9020001,14,"13-15",1995
"79334",9020002,15,"13-15",1995
"79335",9020003,NA,NA,-1
"79336",9020004,NA,NA,-1
"79337",9020030,NA,NA,-1
"79338",9021001,10,"<12",1995
"79339",9021002,12,"12",1992
"79340",9021003,12,"12",1994
"79341",9021170,10,"<12",1995
"79342",9021227,11,"<12",1990
"79343",9022001,12,"12",1992
"79344",9022002,12,"12",1992
"79345",9022003,NA,NA,-1
"79346",9022004,NA,NA,-1
"79347",9022005,NA,NA,-1
"79348",9023001,12,"12",1995
"79349",9023002,NA,NA,-1
"79350",9024001,14,"13-15",1990
"79351",9024002,10,"<12",1994
"79352",9024003,13,"13-15",1994
"79353",9024004,12,"12",1994
"79354",9024170,14,"13-15",1994
"79355",9025001,8,"<12",1992
"79356",9025002,8,"<12",1992
"79357",9026001,6,"<12",1994
"79358",9026002,NA,NA,-1
"79359",9026003,12,"12",1994
"79360",9026004,12,"12",1994
"79361",9026005,12,"12",1994
